Model,MAE,MSE,RMSE,MAPE,MSPE,R2
dTr,0.014364711426188491,,0.030971156311434992,0.2951238545253641,,0.06448032143531679
rDf,0.010580917839866555,,0.022728394535258413,0.21822294662813163,,0.4961797649025187
SVR,0.009318104063386155,,0.02309056768379533,0.1606123458945933,,0.4799952538288914
MLP,0.01084409729858215,,0.022931636861270678,0.21998105233259851,,0.48712893403274937
LSTM,0.0108462747264387,,0.022549739690115363,0.22578907118830246,,0.5040691182659176
NLSTM,0.010197630642201833,,0.021728688010615924,0.20152431856408407,,0.5395260190276472
iTransformer,0.009807066390325272,,0.02303856888029677,0.1810450612230038,,0.4823346660982859
SWT-LSTM,0.004448814022518765,,0.009199629558148698,0.091336127640936,,0.9174572816995843
SWT-SLSTM,0.005073692417848207,,0.010616851973272163,0.09823020151539938,,0.8900666122694514
SWT-BiLSTM,0.005212609134278566,,0.00949523368468586,0.11848855443802936,,0.9120675037660803
SWT-NLSTM,0.004541153268557131,,0.00947039204360385,0.09241073385926045,,0.9125270037977364
EWT-LSTM,0.011350246097581318,,0.021689042813251593,0.2646525390595596,,0.5412048067838776
EWT-SLSTM,0.012227347388657215,,0.02177321161797111,0.2959867019980276,,0.5376369986048198
EWT-BiLSTM,0.012234595281901585,,0.02196461799383814,0.30051660357840787,,0.5294720827050187
EWT-NLSTM,0.01552609030358632,,0.02368616565322447,0.41859987450876934,,0.45282328016260875
VMD-LSTM,0.007538387265221018,,0.013108028646736294,0.1702234040457651,,0.8324236021569601
VMD-SLSTM,0.006944041508757299,,0.01266906570328954,0.14880681290732137,,0.8434593027085038
VMD-BiLSTM,0.008193502521267722,,0.013772501019806673,0.17919396895013268,,0.8150034141428592
VMD-NLSTM,0.00699068618265221,,0.012436041266903508,0.15556312164138453,,0.8491649067551423
EMD-LSTM,0.011143728520433695,,0.017717699379482168,0.29294547335578647,,0.6938369720863721
EMD-SLSTM,0.009721136359466222,,0.015686757863950677,0.25359406607753443,,0.7600037404887939
EMD-BiLSTM,0.01056278352293578,,0.01681885203706692,0.274817054934447,,0.7241132857237927
EMD-NLSTM,0.008957397245204337,,0.015175033219433047,0.23566915358496093,,0.7754063940418703
SSA-LSTM,0.003746764786488741,,0.005434353300281344,0.09179210951055604,,0.9711972585378749
SSA-BiLSTM,0.004178353386989158,,0.006392867995221789,0.09544836237036994,,0.9601407097824591
SSA-NLSTM,0.0028525444637197664,,0.0044033956358657785,0.06790468100577114,,0.9810890432051337
EMD-ITF,0.008770949,0.00023939577,0.01547242,0.21293046,0.14488935,0.7664651783481949
EWT-ITF,0.009825525,0.00051477493,0.022688651,0.18732382,0.15372168,0.539864304570604
SWT-ITF,0.0031180562244857487,4.4617281893392055e-05,0.006679616897202418,0.0673248253357409,0.020427971533157004,0.9564232380636579
VMD-ITF,0.0064222366,0.00013053995,0.011425408,0.1518505,0.06263871,0.8726559636319513
PROPOSED,0.0017627962,9.010608e-06,0.0030017674,0.043714967,0.0050598728,0.9912099915694165
